id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
618,Raheem Sterling,30,2449,10,11.763264082372189,6,5.817095670849085,68,35,3,0,F M S,Manchester City,10,11.002095226198435,24.088666174560785,11.477124504745008,276,0.43229635255757326,0.4043236301992075,0.21377648443300026
7153,Matheus Pereira,32,2504,10,6.718133190646768,6,6.355539299547672,59,58,2,1,M S,West Bromwich Albion,6,3.673457738012075,10.615360898897054,3.662885209545493,481,0.24146644854561064,0.13203322540778226,0.22843392051089875
531,Michail Antonio,24,1833,9,13.708395224064589,5,3.006022961810231,60,24,3,0,F S,West Ham,9,13.708395224064589,18.467062648385767,2.5489524565637107,437,0.6730799619016983,0.6730799619016983,0.14759523544076422
558,Jesse Lingard,14,1254,9,5.06537277624011,3,1.8727973308414219,38,14,3,0,F M,West Ham,8,3.54303514957428,8.951403018087149,5.1737787649035445,301,0.36354350068708924,0.25428481934743635,0.13441129168718338
606,Christian Benteke,29,1742,9,6.896394165232778,1,0.6825640806928277,67,14,0,1,F S,Crystal Palace,9,6.896394165232778,8.318503184244037,3.138491570018232,132,0.3563005022221297,0.3563005022221297,0.03526450474302784
750,Riyad Mahrez,25,1804,9,6.0307086342945695,4,5.404377521947026,54,42,0,0,F M S,Manchester City,9,6.0307086342945695,18.02916401065886,8.46899783052504,275,0.30086683873975123,0.30086683873975123,0.269619721161437
838,Sadio Mané,33,2625,9,13.129403213039039,6,7.244021510705353,88,54,3,0,F M S,Liverpool,9,13.129403213039039,22.893838122487068,5.3647703770548105,251,0.45015096730419557,0.45015096730419557,0.2483664517956121
2251,Gareth Bale,18,875,9,4.265136627480389,2,1.5754875503480434,33,18,1,0,M S,Tottenham,9,4.265136627480389,6.350166015326978,2.5945137250237167,543,0.4386997673979829,0.4386997673979829,0.16205014803579876
3294,Edinson Cavani,25,1267,9,8.588583774864674,3,2.0423992853611708,33,13,4,0,F S,Manchester United,9,8.588583774864674,11.940688118338585,2.7016380857676268,569,0.6100809311269303,0.6100809311269303,0.14507966510063566
5612,Anwar El Ghazi,26,1441,9,8.027434582822025,0,1.749279459938407,60,23,2,0,F M S,Aston Villa,6,5.743928055278957,7.4350470351055264,2.571844534948468,45,0.50136649025259,0.35874637402852605,0.10925409534660417
6681,Harvey Barnes,25,1954,9,6.697319919243455,4,1.7716880273073912,56,26,0,0,F M S,Leicester,9,6.697319919243455,8.893774410709739,1.5948405284434557,235,0.3084743053899237,0.3084743053899237,0.08160282623217256
6854,Diogo Jota,18,1113,9,7.05772053822875,0,1.7625210750848057,46,12,2,0,F M S,Liverpool,9,7.05772053822875,10.972974702715874,4.0760964918881655,468,0.5707051648163409,0.5707051648163409,0.14252191981817836
7700,Che Adams,35,2638,9,11.411103766411545,5,5.2277535051107415,53,37,1,0,F S,Southampton,9,11.411103766411545,13.779281318187715,2.7446243297308683,377,0.389309832819196,0.389309832819196,0.17835398614858483
